Rule,Criteria,Trigger Functions,Trigger Rules,Text,Options,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Apply Facts
RP_FebrisHelp,"concept: optionSelected, option: RP_FebrisHelp","addValueWithFlair: 10000, removeMoraleWithFlair: 25",,"You command Febris to accelerate research using the provided nanites. ""Yes, $player_prefix, if you are sure,"" she obliges.",Continue: RP_FebrisFallback,,,,,
RP_FebrisScoutOption,"concept: populateRP_FebrisOptions, player_morale: >=25",,,,Order Febris to find an undiscovered body: RP_FebrisScout,,,,,
RP_FebrisScout,"concept: optionSelected, option: RP_FebrisScout","discoverRandomBodyWithFlair: $randi, removeMoraleWithFlair: 25",,"You command Febris to find an undiscovered body. ""Yes, $player_prefix, if you are sure,"" she obliges.",Continue: RP_FebrisFallback,,,,,
RP_FebrisFallback,"concept: optionSelected, option: RP_FebrisFallback",,,"""Is there anything else I can do for you, $player_prefix?"" Febris asks.",Dismiss Febris: RP_Fallback,populateRP_FebrisOptions,,,,
,,,,,,,,,,
RP_WalkerSummon,"concept: optionSelected, option: RP_WalkerSummon",,,"Walker enters your ready room, salutes, asks for permission to sit and does so when given. You understand that your standing with Walker dictates your chance to survive a mutiny.",Dismiss Walker: RP_Fallback,populateRP_WalkerOptions,,,,
RP_WalkerFallback,"concept: optionSelected, option: RP_WalkerFallback",,,"""$player_prefix, anything else that I can do for you, $player_prefix_lower?"" Walker asks.",Dismiss Walker: RP_Fallback,populateRP_WalkerOptions,,,,
RP_WalkerOriginOption,"concept: populateRP_WalkerOptions, player_SECURITY_OFFICER_standing: >50, RP_WalkerOriginOption_PREV: false",,,"Walker has recently been requesting operational security assessments at a grossly inappropriate rate, even when danger is not present, for no discernable reason. You have received a multitude of complaints from his subordinates regarding the busywork. ",Ask Walker about the assessments: RP_WalkerOriginA,,,,,
RP_WalkerOriginA,"concept: optionSelected, option: RP_WalkerOriginA",,,"You interrogate Walker about the security assessments. He initially insists on their importance in 'minimising threats to the ship before they transpire' and claims that they are necessary in 'ensuring a state of consistent awareness against possible threats'. After several rounds of questioning, particularly regarding his loyalty and competence, he breaks and begins talking.",Continue: RP_WalkerOriginB,,,,,RP_WalkerOriginOption_PREV: true
RP_WalkerOriginB,"concept: optionSelected, option: RP_WalkerOriginB",,,"[i]""My fire team was in the meadowlands during one particular day of the war - it was the most confusing scene imaginable. The trees were burning, while the ground was embalmed with pristine daffodils. Ruins surrounded. A light drizzle had begun. And above, a silent war of moving dots continued - occasionally there would be a flash. Both ugly and beautiful, the terrain failed to be either. And despite the desperate efforts of the base techs, who spoke at length about ‘nitrogen fixing’ and ‘seed germination’, none of us understood why the flechette had such an inconsistent effect on the environment.

""We stalked in the sparse undergrowth as the enemy was somewhere in a nearby forest. They would creep forward slowly each day before shooting, and then immediately retreat to avoid the flechette. Amel and Murphy, bless them, intended to take a few of the bastards out before we would follow suit. Those men and Koa combined were war-torn veterans, with wives and girlfriends at base. Rather, I worked in intel, and was assigned to the team due to ever-present shortages. We all collectively hated our temporary role as glorified scouts but were still ready to sacrifice for the cause. The taste of expired field rations informed me of reality, just as a twig snapped in the woodland.[/i]",Listen: RP_WalkerOriginC,,,,,
RP_WalkerOriginC,"concept: optionSelected, option: RP_WalkerOriginC",,,"[i]""Amel twisted, and his rifle rattled. 'Eight at 10’o’clock, hiding behind those trees,' he whispered, and everyone’s rifles rattled. I struggled to calibrate my scope, eventually dilating in an image of the enemy lead raising his hand. A rifle peered from around the side of a tree. 'Damn it, Walker. Pick your targets,' Koa muttered. Before the tree-rifle aligned, an electric buzz prefaced the deafening thud of Amel’s rifle.[/i]",Listen: RP_WalkerOriginD,,,,,
RP_WalkerOriginD,"concept: optionSelected, option: RP_WalkerOriginD",playSoundEffect: gunfire.wav,,"[i]""Koa didn’t say the obvious, but I was nonetheless embarrassed. I was not masked well enough to evade heat detection. As a second shot rang, and at least three echoed, I turned and clawed my way up the hill behind our hiding spot. A round whizzed by as I ducked behind cover. In the distance, a body screamed as it melted. As more shots echoed, I radioed for a flechette round. My stomach began churning as Koa barked out an order to scale the hill.

""One by one the veterans ducked behind the wet earth. Murphy slid through while fiddling with a wrist mounted screen. 'I’ve started the clock - one minute,' he said. From now on, bullets were the least of our concerns. For the moment, we all lay silent in the mud - combat was rapid, and each bout we survived deserved joy.

""Testament to his leadership, Koa was the first to move. Hauling himself upright with a grunt, he began walking towards a sufficient ruin nearby. As we piled up behind him, he gradually adjusted to a jog. We were soon struggling over the gigantic tread marks of a moving fortress. Sooner still, we were trodding through a remnant patch of sand. Simultaneously, the hill began to descend, and the forest was once again visible. For our short-term survival, Koa stopped.[/i]","Listen: RP_WalkerOriginE, Interrupt him: RP_WalkerOriginH",,,,,
RP_WalkerOriginE,"concept: optionSelected, option: RP_WalkerOriginE",playSoundEffect: gunshot.wav,,"[i]""By this point I had internalised the struggle of distance and I felt my blood circulating. Koa raised his hand and took three steps out into the open. A steak of light punched the ground nearby and an avalanche of molten glass flew across the patch. Amel promptly yanked him back behind cover. 'That was a potshot!' Murphy claimed. 'You softened Timmy - they are clearly pissed off,' Amel angrily retaliated. Looking down at his screen, Murphy informed us of what we did not want to hear with so few options - there were only 30 seconds left. My heart rate rose again. The taste of field rations assaulted my tongue. I felt a strong desire to prove myself as one of those men, so I took a deep breath and jolted upwards to begin the struggle against distance.

""I ran. I ran briskly. I braced through shrubbery, tripped on twigs and sprained my ankle in a ditch. If there was shooting - if the enemy somehow didn’t fear the heavens - I didn’t notice it. I did not look back once. The daffodils and the bushes blurred together as I approached the ruin, a strong two story tall concrete frame. In a moment, I was before it. 'Five seconds!' Murphy yelled somewhere behind me. My sprint ended with me diving into the structure like a madman.[/i]","Listen: RP_WalkerOriginF, Interrupt him: RP_WalkerOriginH",,,,,
RP_WalkerOriginF,"concept: optionSelected, option: RP_WalkerOriginF",playSoundEffect: RP_WalkerOrigin_flechette.wav,,"[i]""As always, the flechette arrived on time. There was the whistle of an incoming munition, followed by a faint pop. Then the whistle multiplied by millions, and those voices were immediately silenced by the steel rain. Millions of orderly hypersonic needles fell across the countryside. They embedded themselves into the trees and flames rose to the occasion. They put ringed holes in the daffodils. They fell through the soil in a grid, allowing moisture to seep down in their wake. The brief downpour was barely stopped by the concrete above. And afterwards, many droplets ricocheted off of the roof into a light drizzle around the structure. I gasped for air as the sickening sound faded.[/i]","Listen: RP_WalkerOriginG, Interrupt him: RP_WalkerOriginH",,,,,
RP_WalkerOriginG,"concept: optionSelected, option: RP_WalkerOriginG",playMusic: RP_WalkerOrigin_clarity.wav,,"[i]""To observe their work, I pouted, whimpered and dreadfully turned around. I watched as Amel took his last step. His eyes were dead, with holes in his skull and shoulders, and he fell forward slowly. Murphy appeared to have fallen beforehand, and small red dots grew from hundreds of evenly spaced pinpricks on his back. Koa was a mess. Those bodies had lost a ridiculous game and would never see their families again. The flechette held the cards - they were only out there because of it, and were also only dead because of it. My problems were numerous, but for the moment I watched the blood flow towards me and I thought deeply. I even tried to imagine the horror from the perspective of my hostile counterpart. In the distance, my flechette fell onto the enemy.""[/i]",Continue: RP_WalkerOriginH,,,,,
RP_WalkerOriginH,"concept: optionSelected, option: RP_WalkerOriginH",,,"Walker looks completely out of his depth and speaks louder to hide it. ""Don't you understand, $player_prefix_lower? We are always a minute away from death. It only takes one marauder evading our sensors to tear the ship in half. And if our people are as careless as I was when it came to heat detection,"" he twitches, ""it... it will only make it easier for one marauder to score a lucky hit. We can't let that happen."" He looks sour, probably realising that he has talked improperly towards a superior.","Praise his diligence: RP_WalkerOriginAgree, Order him to only assess irregularly: RP_WalkerOriginDisagree",,,,,
RP_WalkerOriginAgree,"concept: optionSelected, option: RP_WalkerOriginAgree","superchargeForJumpsWithFlair: 3, removeMoraleWithFlair: 10, decreaseCharacterStandingBy25: SECURITY_OFFICER",,"Walker appears confused, but eventually accepts that the frequency of his paranoia-induced security assessments is now ship policy. You have the complaints scrapped.",Consider other matters: RP_WalkerFallback,,,,,
RP_WalkerOriginDisagree,"concept: optionSelected, option: RP_WalkerOriginDisagree","addMoraleWithFlair: 10, increaseCharacterStandingBy25: SECURITY_OFFICER",,Walker appears almost relieved as you begin belting out threats of disciplinary action against him if he doesn't stop torturing his subordinates with paperwork. He readily apologies and agrees to only order security assessments biweekly.,Consider other matters: RP_WalkerFallback,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"#anomalies should only be picked if ALL characters essential to the anomaly are alive, rather than having branching paths depending on what characters ARE alive. ",,,,,,,,,,
,,,,,,,,,,
# planetary anomalies,,,,,,,,,,
gasSiphoningMessage,concept: gasSiphoningMessage,,,,,,gasSiphoningMessageDispatch,,,
gasSiphoningNeptunianMessage,"concept: gasSiphoningMessageDispatch, planet_classification: Neptunian, gasSiphoningNeptunianMessagePREV: false",,,"[color=darkgray]Delving deep into the atmosphere of Neptunian and Jovian worlds in order to extract pressure-forged rare gasses has been a dangerous, yet profitable practice since the early days of space flight. On Neptunian worlds, this is often achieved via high altitude extraction depots, which extract more common gasses at high volumes. [/color]",,,,,,gasSiphoningNeptunianMessagePREV: true
gasSiphoningJovianMessage,"concept: gasSiphoningMessageDispatch, planet_classification: Jovian, gasSiphoningJovianMessagePREV: false",,,"[color=darkgray]Delving deep into the atmosphere of Neptunian and Jovian worlds in order to extract pressure-forged rare gasses has been a dangerous, yet profitable practice since the early days of space flight. On Jovian worlds, this is often achieved via specialised extraction ships, which glide deep before dropping weight to escape with a small yield of extremely profitable gas. [/color]",,,,,,gasSiphoningJovianMessagePREV: true
,,,,,,,,,,
PA_TerranPortal,"concept: followingBody, type: PLANET, planet_classification: Terran, planetary_anomaly: true, planetary_anomaly_available: true",,,,,,,PA_TerranPortalResponse,,
PA_NeptunianPortal,"concept: followingBody, type: PLANET, planet_classification: Neptunian, planetary_anomaly: true, planetary_anomaly_available: true",,,,,,,PA_NeptunianPortalResponse,,
PA_JovianPortal,"concept: followingBody, type: PLANET, planet_classification: Jovian, planetary_anomaly: true, planetary_anomaly_available: true",,,,,,,PA_JovianPortalResponse,,
,,,,,,,,,,
PAFirstContactFamily,"concept: PA_TerranPortalResponse, player_in_CORE_or_FRONTIER_region: true",openDialog: null,defaultApproachMessage,There are numerous signs of a non-spacefaring human presence on the surface of the planet. ,Leave:defaultSoftLeave,,,,,
,,,,,,,,,,
PAResearchSettlementFamily,"concept: PA_TerranPortalResponse, player_in_CORE_or_FRONTIER_region: true",openDialog: null,defaultApproachMessage,An abandoned research settlement is detected on its surface.,Leave:defaultSoftLeave,,,PAResearchSettlementDispatch,,
,,,,,,,,,,
PA_StationGenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_CORE_or_FRONTIER_region: true",openDialog: null,defaultApproachMessage,"There appears to be an occupied settlement, missing from native starcharts, on the surface of the planet. You recall that profits at such bases are usually lower than official counterparts. Communications are quickly established. ","Request docking access: PA_StationGenericDockingAccess, Leave:defaultSoftLeave",,,,,
PA_StationGenericDockingAccess,"concept: optionSelected, option: PA_StationGenericDockingAccess",closeDialog: HARD_LEAVE_STATION_OVERRIDE,,,,,,,,
,,,,,,,,,,
PA_RepairGenericTerranOpenDialog,"concept: PA_TerranPortalResponse, player_in_ANY_region: true",,,,,,PA_RepairGenericActions,,,
PA_RepairGenericNeptunianOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_ANY_region: true",,,,,,PA_RepairGenericActions,,,
PA_RepairGenericJovianOpenDialog,"concept: PA_JovianPortalResponse, player_in_ANY_region: true",,,,,,PA_RepairGenericActions,,,
PA_RepairGenericActions,concept: PA_RepairGenericActions,openDialog: null,defaultApproachMessage,"Sensors detect an abandoned nanite cache, with an integrated nanite controller, in low orbit.","Program the nanites for repair: PA_RepairGenericDispatch, Leave: defaultSoftLeave",,,,,
PA_RepairGenericDispatch,"concept: optionSelected, option: PA_RepairGenericDispatch",,,,,,,PA_RepairGenericDispatchResponse,,
PA_RepairGenericDispatchSuccess,concept: PA_RepairGenericDispatchResponse,removeHullStressWithFlair: 15,,The cache's nanites successfully repair your starship.,Leave:defaultHardLeave,,,,,
PA_RepairGenericDispatchFailureA,concept: PA_RepairGenericDispatchResponse,,,The cache's nanites malfunction and shutdown before repairs can be made.,Leave:defaultHardLeave,,,,,
PA_RepairGenericDispatchFailureB,concept: PA_RepairGenericDispatchResponse,"decreaseBalanceWithFlair: 2500, removeHullStressWithFlair: 5",,"The cache’s nanites malfunction and shutdown early into the repair process, causing a ‘recall’ order to be transmitted automatically in an attempt to restore the situation. The directive overrides multiple nanite regiments aboard your starship, causing those affected to quickly depart and transfer to the cache before a ‘stop’ order disseminates. Luckily, the controller does not malfunction utilising the stolen batch. ",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_01GenericTerranOpenDialog,"concept: PA_TerranPortalResponse, player_in_ANY_region: true",,,An inconsistent LIDAR return is marked on its surface.,,,PA_01GenericActions,,,
PA_01GenericNeptunianOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_ANY_region: true",,,An inconsistent LIDAR return is marked within its atmosphere.,,,PA_01GenericActions,,,
PA_01GenericJovianOpenDialog,"concept: PA_JovianPortalResponse, player_in_ANY_region: true",,,An inconsistent LIDAR return is marked within the upper fringes of its atmosphere.,,,PA_01GenericActions,,,
PA_01GenericActions,concept: PA_01GenericActions,openDialog: null,defaultApproachMessage,,"Investigate:PA_01GenericContinue, Leave:defaultSoftLeave",,,,,
PA_01GenericContinue,"concept: optionSelected, option: PA_01GenericContinue",addValueWithFlair: 5000,,"Upon further analysis and several additional pings, it becomes clear that the inconsistent return was merely a false echo. The higher resolution scan data will yield marginal value.",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_02GenericTerranOpenDialog,"concept: PA_TerranPortalResponse, player_in_FRONTIER_region: true",,,,,,PA_02GenericActions,,,
PA_02GenericNeptunianOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_FRONTIER_region: true",,,,,,PA_02GenericActions,,,
PA_02GenericJovianOpenDialog,"concept: PA_JovianPortalResponse, player_in_FRONTIER_region: true",,,,,,PA_02GenericActions,,,
PA_02GenericActions,concept: PA_02GenericActions,openDialog: null,defaultApproachMessage,Sensors detect an abandoned satellite in low orbit.,"Scout for salvage:PA_02GenericDispatch, Leave:defaultSoftLeave",,,,,
PA_02GenericDispatch,"concept: optionSelected, option: PA_02GenericDispatch",,,,Leave:defaultHardLeave,,,PA_02GenericDispatchResponse,,
PA_02GenericDispatchSuccessA,concept: PA_02GenericDispatchResponse,addValueWithFlair: 5000,,Salvage teams find high resolution maps within.,,,,,,
PA_02GenericDispatchSuccessB,concept: PA_02GenericDispatchResponse,superchargeForJumpsWithFlair: 2,,"Salvage teams find an extremely coherent simulation of dust and asteroids throughout nearby star systems within the satellite's computer. The raw data appears to have been inserted during the satellites deployment, and it's subroutines appear to have been crunching it unassisted for decades. You are informed that the threat prediction would aid in navigation and thus have the data duplicated and transferred aboard.",,,,,,
PA_02GenericDispatchFailure,concept: PA_02GenericDispatchResponse,,,Salvage teams find nothing of value.,,,,,,
,,,,,,,,,,
PA_03GenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_FRONTIER_region: true",openDialog: null,defaultApproachMessage,The crash site of an exploration pinnace is detected on its surface. Mangled chunks of hull are spread over several kilometers of terrain.,"Scout for salvage:PA_03GenericDispatchA, Leave:defaultSoftLeave",,,,,
PA_03GenericDispatchA,"concept: optionSelected, option: PA_03GenericDispatchA",,,,Continue:PA_03GenericDispatchB,,,PA_03GenericDispatchAResponse,,
PA_03GenericDispatchASuccess,concept: PA_03GenericDispatchAResponse,addValueWithFlair: 5000,,Salvage teams find useful scan data from throughout the system within the remains of a storage compartment.,,,,,,
PA_03GenericDispatchAFailure,concept: PA_03GenericDispatchAResponse,,,Salvage teams find nothing of value despite clawing through a majority of the wreckage.,,,,,,
PA_03GenericDispatchB,"concept: optionSelected, option: PA_03GenericDispatchB",,,,Leave:defaultHardLeave,,,PA_03GenericDispatchBResponse,,
PA_03GenericDispatchBSuccessOverride,concept: PA_03GenericDispatchBResponse,,,"The black box is cut out of the remains of the bridge. The logs, combined with signs of weapon discharge on portions of the structure, leads to the conclusion that the vessel crashed during a scuffle with pirates.",,,,,,
PA_03GenericDispatchBSuccess,concept: PA_03GenericDispatchBResponse,,,The black box is cut out of the remains of the bridge. The logs lead to the conclusion that the vessel crashed due to pilot error or malfunction.,,,,,,
PA_03GenericDispatchBFailure,concept: PA_03GenericDispatchBResponse,,,The black box is unable to be located - the reason for the demise of the pinnace will forever be a mystery.,,,,,,
,,,,,,,,,,
PA_04GenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_FRONTIER_region: true",openDialog: null,defaultApproachMessage,An abandoned quarry is detected on its surface.,"Scout for salvage:PA_04GenericDispatch, Leave:defaultSoftLeave",,,,,
PA_04GenericDispatch,"concept: optionSelected, option: PA_04GenericDispatch",,,,Leave:defaultHardLeave,,,PA_04GenericDispatchResponse,,
PA_04GenericDispatchSuccess,concept: PA_04GenericDispatchResponse,addValueWithFlair: 5000,,Salvage teams find antique equipment and several rotting databanks which are restored to yield data about surrounding mineral deposits.,,,,,,
PA_04GenericDispatchFailure,concept: PA_04GenericDispatchResponse,,,"Salvage teams find antique equipment, but nothing of value to the mission.",,,,,,
,,,,,,,,,,
PA_05GenericOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_FRONTIER_region: true",openDialog: null,defaultApproachMessage,An abandoned gas extraction depot is detected within its atmosphere. ,"Scout for salvage:PA_05GenericDispatch, Leave:defaultSoftLeave",,gasSiphoningMessage,,,
PA_05GenericDispatch,"concept: optionSelected, option: PA_05GenericDispatch",,,,Leave:defaultHardLeave,,,PA_05GenericDispatchResponse,,
PA_05GenericDispatchSuccess,concept: PA_05GenericDispatchResponse,addValueWithFlair: 5000,,Salvage teams find databanks containing useful data pertaining to local weather cycles.,,,,,,
PA_05GenericDispatchFailure,concept: PA_05GenericDispatchResponse,,,Salvage teams find nothing of value.,,,,,,
,,,,,,,,,,
PA_06GenericOpenDialog,"concept: PA_JovianPortalResponse, player_in_FRONTIER_region: true",openDialog: null,defaultApproachMessage,An abandoned gas harvesting pinnace is detected in low orbit.,"Scout for salvage:PA_06GenericDispatch, Leave:defaultSoftLeave",,gasSiphoningMessage,,,
PA_06GenericDispatch,"concept: optionSelected, option: PA_06GenericDispatch",,,,Leave:defaultHardLeave,,,PA_06GenericDispatchResponse,,
PA_06GenericDispatchSuccess,concept: PA_06GenericDispatchResponse,addValueWithFlair: 5000,,Salvage teams find data pertaining to the location of concentrated gas pockets deep in the atmosphere.,,,,,,
PA_06GenericDispatchFailure,concept: PA_06GenericDispatchResponse,,,Salvage teams find nothing of value.,,,,,,
,,,,,,,,,,
PA_07GenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_ABYSS_region: true",openDialog: null,defaultApproachMessage,"A single canyon stretches three quarters of the way around its circumference. The canyons natural formation is technically plausible, however incredibly unlikely, and its geometry appears unnaturally sharp, with a near perfect ninety-degree angle between its valley and peaks.","Investigate: PA_07GenericDispatch, Leave:defaultSoftLeave",,,,,
PA_07GenericDispatch,"concept: optionSelected, option: PA_07GenericDispatch",,,,Leave:defaultHardLeave,,,PA_07GenericDispatchResponse,,
PA_07GenericDispatchSuccess,concept: PA_07GenericDispatchResponse,addValueWithFlair: 10000,,"The canyon is mapped, and a ground sample is sheepishly retrieved from its lowest point - tampering is detected within it. The canyon was created by something, but the complete lack of any visible devices to permit such a terraforming project leaves its founders unknown.",,,,,,
PA_07GenericDispatchFailure,concept: PA_07GenericDispatchResponse,,,"The canyon is mapped, and a ground sample is sheepishly retrieved from its lowest point - no tampering is detected within it. Results are written but no final conclusion can be ascertained. ",,,,,,
,,,,,,,,,,
PA_08GenericOpenDialog,"concept: PA_JovianPortalResponse, player_in_ABYSS_region: true",openDialog: null,defaultApproachMessage,"Several circular ‘holes’ are detected upon its atmosphere. They appear to displace all matter from the exosphere to the core - in doing so, they violate multiple universal constants. There is no observable device to explain their cause.","Investigate: PA_08GenericContinue, Leave:defaultSoftLeave",,,,,
PA_08GenericContinue,"concept: optionSelected, option: PA_08GenericContinue",addValueWithFlair: 10000,,The ‘holes’ are extensively logged. Nothing more can be done.,Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_09GenericOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_ABYSS_region: true",openDialog: null,defaultApproachMessage,"There is an unnaturally large storm within its atmosphere, just below the equator. It is hundreds of kilometres deep, with ferocious wind speeds and a diameter akin to the most gargantuan of storms on Jovian worlds.","Investigate:PA_09GenericDispatch, Leave:defaultSoftLeave",,,,,
PA_09GenericDispatch,"concept: optionSelected, option: PA_09GenericDispatch",,,,,,,PA_09GenericDispatchResponse,,
PA_09GenericDispatchSuccess,concept: PA_09GenericDispatchResponse,addValueWithFlair: 10000,,"The storm appears to spin around a spherical device floating a hundred kilometres below the exosphere. No probe in your arsenal can reach the device amidst the extraordinary wind speed, so it is merely surveyed extensively.",Leave:defaultHardLeave,,,,,
PA_09GenericDispatchFailure,concept: PA_09GenericDispatchResponse,addValueWithFlair: 2500,,The storm is determined to be a natural occurrence. It is logged extensively due to its rarity.,Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_10GenericResponse,concept: PAResearchSettlementDispatch,,,,Scout for salvage:PA_10GenericDispatch,,,,,
PA_10GenericDispatch,"concept: optionSelected, option: PA_10GenericDispatch",,,,,,,PA_10GenericDispatchResponse,,
PA_10GenericDispatchSuccess,concept: PA_10GenericDispatchResponse,discoverRandomBodyWithFlair: $seed,,Salvage teams find databanks containing useful scan data of nearby phenomena.,Leave:defaultHardLeave,,,,,
PA_10GenericDispatchFailure,concept: PA_10GenericDispatchResponse,,,Salvage teams find nothing of value.,Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_11Generic,"concept: PA_TerranPortalResponse, player_in_ANY_region: true",openDialog: null,defaultApproachMessage,A quantity of isotopes consistent with the presence of living organisms are detected on its surface.,Investigate: PA_11GenericCarry,,,,,
PA_11GenericCarry,"concept: optionSelected, option: PA_11GenericCarry",,,,,,,PA_11GenericDispatch,,
PA_11GenericSnailResponse,concept: PA_11GenericDispatch,addValueWithFlair: 10000,,"Exobiologists find a species of mammoth organisms on the planet. The ancient creatures travel in herds and graze with an array of trunks, feeding on miniscule life forms that compose the bulk of the supporting ecosystem. You are kept apprised during the expedition and learn several facts about the life forms: they shuffle slowly via hundreds of small appendages, they appear to be apex predators due to a lack of visible protection against direct attacks, and they appear to have an extremely low metabolism due to a failure to respond to external stimuli. The end of the expedition sees a wealth of data return to your starship.",Leave: PA_11GenericInterLeave,,PA_11GenericLifeDispatch,,,
PA_11GenericFungiResponse,concept: PA_11GenericDispatch,addValueWithFlair: 10000,,"Exobiologists find a series of micro-organism growths on the planet. Each growth takes a shade of brown and protrudes outwards from a central stalk in several directions in order to maximise light absorption. The ecosystem that the primitive life forms occupy is tiny, with only seven subdued competitors able to be identified. Contenders struggle at the microscopic level, or by simply growing to block light from reaching their opponents. The end of the expedition sees a wealth of data return to your starship.",Leave: PA_11GenericInterLeave,,PA_11GenericLifeDispatch,,,
PA_11GenericNaniteResponse,concept: PA_11GenericDispatch,addValueWithFlair: 10000,,"Exobiologists find a habitat of auto-organisms - descendents of nanites - on the planet. The nanites appear to have developed to complement natural life, and the ecosystem resulting has ample producers, consumers and decomposers. Each auto-organism requires far less electricity than any machine made directly by humans. The ecosystem, with its auto-organisms and the nanites within them, speaks to the eternal arms race of technology and the return to nature that it inevitably conspires to emulate. The end of the expedition sees a wealth of data return to your starship.",Leave: PA_11GenericInterLeave,,PA_11GenericLifeDispatch,,,
PA_11GenericLifeFebrisOption,"concept: PA_11GenericLifeDispatch, player_MEDICAL_OFFICER_alive: true",,,,Allow Febris to take one for study: PA_11GenericLifeFebrisTake,,,,,
PA_11GenericLifeFebrisTake,"concept: optionSelected, option: PA_11GenericLifeFebrisTake","addValueWithFlair: 10000, removeMoraleWithFlair: 10, increaseCharacterStandingBy25: MEDICAL_OFFICER",,You give Febris the go-ahead to capture one of the life forms and a transport is soon dispatched at her discretion. You are informed that stealing an alien is a Codex ‘legal grey area’ and multiple complaints flow through the chain of command to the desk of your ready room regarding the decision. Later analysis simply concludes that it is ‘unlikely’ that Febris’ effort had any overarching effect on the fragile ecosystem.,Leave:defaultHardLeave,,,,,
PA_11GenericInterLeave,"concept: optionSelected, option: PA_11GenericInterLeave",decreaseCharacterStandingBy25: MEDICAL_OFFICER,defaultHardLeave,,,,,,,
,,,,,,,,,,
PA12GResearchSettlementResponse,concept: PAResearchSettlementDispatch,,,,Scout for salvage:PA12GResearchSettlementContinue,,,,,
PA12GResearchSettlementContinue,"concept: optionSelected, option: PA12GResearchSettlementContinue",,,"Salvage teams find a huge synthesis manufactory within, implied by expansive nanite ducts and supporting trite manufactories for prerequisites. Upon activation, it is discovered that the vast machine is running somewhat low on a specific tacsteel composite found only in your starship’s hull plating, and that it refuses to print anything until the ‘current problem’ is resolved. Should the device be supplied, it would likely accept one of your module blueprints, in spite of its ancient design.","Make the sacrifice: PA12GResearchSettlementGive, Carry on: PA_10GenericDispatch",,,,,
PA12GResearchSettlementGive,"concept: optionSelected, option: PA12GResearchSettlementGive",,,,,,,PA12GResearchSettlementDispatch,,
PA12GResearchSettlementGiveSuccess,concept: PA12GResearchSettlementDispatch,"addHullStressWithFlair: 15, unlockRandomUpgradeWithFlair: $seed",,"A section of plating is waxed for the composite, and the material is transferred to the manufactory input. With several groans and complaints, the machine successfully prints one of your blueprints - but only after rejecting several.",Leave:defaultHardLeave,,,,,
PA12GResearchSettlementGiveFailure,concept: PA12GResearchSettlementDispatch,addHullStressWithFlair: 5,,"A section of plating is waxed for the composite, and the material is transferred to the manufactory input. Uncaring and unfazed, the machine spits out another error about an ‘expired license’ and once again refuses to print anything until the ‘current problem’ is resolved. You curse the entrepreneurial sleeper who directed its construction.",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_01ProbeGraveyard,"concept: PA_NeptunianPortalResponse, player_in_FRONTIER_region: true, PA_01ProbeGraveyardPREV: false",openDialog: null,defaultApproachMessage,"Rather quickly, you are hailed by the senior LIDAR technician in a corner of the operations deck. ",Continue:PA_01ProbeGraveyardContinueA,,,,,PA_01ProbeGraveyardPREV: true
PA_01ProbeGraveyardContinueA,"concept: optionSelected, option: PA_01ProbeGraveyardContinueA",,,"The technician watches over the shoulder of a subordinate as you approach. He points a pen towards the juniors console and tries to find his words. ""There appears to be several high-speed structures orbiting within the upper atmosphere,"" he bluntly states. ""Never seen anything like it. We assumed they were false echoes, but that seems to not be the case.""",Order the structures to be identified:PA_01ProbeGraveyardContinueB,,,,,
PA_01ProbeGraveyardContinueB,"concept: optionSelected, option: PA_01ProbeGraveyardContinueB",,,"It takes ten minutes for a ring of scope and sensor technicians to identify each LIDAR blip. A report is soon handed to you - it suggests that a majority of the contacts are human-made probes, but that one is of unfamiliar design - elongated, ancient and sporting floatation devices, protruding beams and a bow-mounted heatshield. More alarmingly, it suggests that the wind speed is far higher than expected within the upper atmosphere. Although a conclusive story cannot be ascertained, it can be assumed that the unknown starship, and the probes, were inserted without prior knowledge of the wind speed, and became trapped in an endless dance through the clouds.  ",Continue:PA_01ProbeGraveyardContinueC,,,,,
PA_01ProbeGraveyardContinueC,"concept: optionSelected, option: PA_01ProbeGraveyardContinueC",,,"Recovering the unknown starship is impossible, however a probe can be dispatched as homage to the incidents, with little expectation of a return on investment, or you can just leave the flying wrecks be.","Dispatch a probe to add to the collection:PA_01ProbeGraveyardDispatch,Leave:defaultSoftLeave",,,,,
PA_01ProbeGraveyardDispatch,"concept: optionSelected, option: PA_01ProbeGraveyardDispatch",,,,,,PA_01ProbeGraveyardDispatchResponse,,,
